Unit: billion tonnes CO2 per year (10^12 kgCO2 yr-1),,,,,,
Year,RCP26,RCP45,RCP60,RCP85,RCP85_w_injection,co2_injection_rate
1990,22.76,22.76,22.76,22.76,22.76,0
1991,23.24,23.24,23.24,23.24,23.24,0
1992,22.58,22.58,22.58,22.58,22.58,0
1993,22.81,22.81,22.81,22.81,22.81,0
1994,22.97,22.97,22.97,22.97,22.97,0
1995,23.46,23.46,23.46,23.46,23.46,0
1996,24.16,24.16,24.16,24.16,24.16,0
1997,24.3,24.3,24.3,24.3,24.3,0
1998,24.21,24.21,24.21,24.21,24.21,0
1999,24.73,24.73,24.73,24.73,24.73,0
2000,25.45,25.45,25.45,25.45,25.45,0
2001,25.67,25.67,25.67,25.67,25.67,0
2002,26.28,26.28,26.28,26.28,26.28,0
2003,27.65,27.65,27.65,27.65,27.65,0
2004,28.64,28.64,28.64,28.64,28.64,0
2005,29.61,29.61,29.61,29.61,29.61,0
2006,30.59,30.59,30.59,30.59,30.59,0
2007,31.51,31.51,31.51,31.51,31.51,0
2008,32.09,32.09,32.09,32.09,32.09,0
2009,31.56,31.56,31.56,31.56,31.56,0
2010,33.36,33.36,33.36,33.36,33.36,0
2011,34.49,34.49,34.49,34.49,34.49,0
2012,35.01,35.01,35.01,35.01,35.01,0
2013,35.32,35.32,35.32,35.32,35.32,0
2014,35.58,35.58,35.58,35.58,35.58,0
2015,35.56,35.56,35.56,35.56,35.56,0
2016,35.52,35.52,35.52,35.52,35.52,0
2017,36.1,36.1,36.1,36.1,36.1,0
2018,36.83,36.83,36.83,36.83,36.83,0
2019,37.08,37.08,37.08,37.08,37.08,0
2020,35.26,35.26,35.26,35.26,35.219,0.041
2021,37.12,37.12,37.12,37.12,37.078,0.042
2022,37.45,37.45,37.45,37.45,37.406,0.044
2023,34.39,38.35,34.58,47.5,47.453,0.047
2024,33.67,38.66,34.65,48.33,48.266,0.064
2025,32.95,38.98,34.72,49.15,49.011,0.139
2026,32.22,39.29,34.8,49.98,49.805,0.175
2027,31.5,39.61,34.87,50.8,50.597,0.203
2028,30.78,39.92,34.94,51.63,51.413,0.217
2029,30.06,40.24,35.02,52.45,52.232,0.218
2030,29.33,40.55,35.09,53.28,53.024,0.256
2031,28.34,40.7,35.54,54.3,53.98657201,0.313427994
2032,27.35,40.85,35.99,55.33,54.94814055,0.381859453
2033,26.36,40.99,36.44,56.36,55.89903426,0.460965745
2034,25.37,41.14,36.89,57.38,56.82958176,0.550418237
2035,24.38,41.29,37.35,58.41,57.7601117,0.649888298
2036,23.39,41.43,37.8,59.44,58.6809527,0.759047295
2037,22.4,41.58,38.25,60.46,59.5824334,0.877566596
2038,21.41,41.73,38.7,61.49,60.48488243,1.005117569
2039,20.42,41.87,39.15,62.52,61.37862842,1.141371581
2040,19.43,42.02,39.6,63.54,62.254,1.286
2041,18.77,41.91,40.23,64.75,63.31132581,1.438674194
2042,18.11,41.79,40.86,65.95,64.35093447,1.599065532
2043,17.45,41.68,41.49,67.15,65.38315462,1.766845379
2044,16.79,41.57,42.12,68.35,66.40831489,1.941685106
2045,16.13,41.45,42.75,69.56,67.43674392,2.123256078
2046,15.47,41.34,43.38,70.76,68.44877034,2.311229665
2047,14.81,41.22,44.01,71.96,69.45472277,2.505277233
2048,14.15,41.11,44.65,73.16,70.45492985,2.70507015
2049,13.49,41,45.28,74.37,71.45972021,2.910279785
2050,12.83,40.88,45.91,75.57,72.44942249,3.120577505
2051,12.32,40.32,46.62,76.75,73.41436532,3.335634678
2052,11.81,39.75,47.33,77.93,74.37487733,3.555122672
2053,11.29,39.18,48.04,79.11,75.33128715,3.778712854
2054,10.78,38.61,48.75,80.29,76.28392341,4.006076592
2055,10.27,38.04,49.46,81.47,77.23311475,4.236885255
2056,9.75,37.47,50.17,82.65,78.17918979,4.470810209
2057,9.24,36.91,50.89,83.83,79.12247718,4.707522823
2058,8.73,36.34,51.6,85.02,80.07330554,4.946694464
2059,8.21,35.77,52.31,86.2,81.0120035,5.1879965
2060,7.7,35.2,53.02,87.38,81.9488997,5.431100299
2061,7.23,34.35,53.69,88.23,82.55432277,5.675677229
2062,6.75,33.49,54.36,89.09,83.16860134,5.921398657
2063,6.28,32.64,55.03,89.95,83.78206405,6.167935951
2064,5.81,31.78,55.7,90.81,84.39503952,6.41496048
2065,5.34,30.93,56.38,91.67,85.00785639,6.66214361
2066,4.86,30.07,57.05,92.52,85.61084329,6.909156711
2067,4.39,29.22,57.72,93.38,86.22432885,7.155671148
2068,3.92,28.37,58.39,94.24,86.83864171,7.401358291
2069,3.44,27.51,59.06,95.1,87.45411049,7.645889506
2070,2.97,26.66,59.73,95.96,88.07106384,7.888936163
2071,2.73,25.7,60.02,96.48,88.34983037,8.130169627
2072,2.49,24.74,60.3,97.01,88.64073873,8.369261269
2073,2.26,23.77,60.59,97.53,88.92411755,8.605882454
2074,2.02,22.81,60.87,98.05,89.21029545,8.839704551
2075,1.78,21.85,61.16,98.58,89.50960107,9.070398928
2076,1.54,20.89,61.45,99.1,89.80236305,9.297636952
2077,1.3,19.93,61.73,99.63,90.10891001,9.521089991
2078,1.06,18.97,62.02,100.15,90.40957059,9.740429414
2079,0.83,18.01,62.3,100.68,90.72467341,9.955326587
2080,0.59,17.05,62.59,101.2,91.03454712,10.16545288
2081,0.44,16.89,61.81,101.51,91.13952034,10.37047966
2082,0.3,16.73,61.03,101.82,91.24992171,10.57007829
2083,0.16,16.58,60.25,102.12,91.35607986,10.76392014
2084,0.01,16.42,59.47,102.43,91.47832341,10.95167659
2085,-0.13,16.26,58.69,102.74,91.60698101,11.13301899
2086,-0.27,16.1,57.9,103.05,91.74238128,11.30761872
2087,-0.41,15.95,57.12,103.36,91.88485286,11.47514714
2088,-0.56,15.79,56.34,103.66,92.02472438,11.63527562
2089,-0.7,15.63,55.56,103.97,92.18232447,11.78767553
2090,-0.84,15.47,54.78,104.28,92.34798177,11.93201823
2091,-0.91,15.44,54.37,104.4,92.3320249,12.0679751
2092,-0.98,15.41,53.96,104.52,92.3247825,12.1952175
2093,-1.05,15.37,53.55,104.64,92.3265832,12.3134168
2094,-1.12,15.34,53.14,104.76,92.33775563,12.42224437
2095,-1.19,15.31,52.73,104.89,92.36862842,12.52137158
2096,-1.26,15.28,52.32,105.01,92.39953022,12.61046978
2097,-1.33,15.24,51.91,105.13,92.44078964,12.68921036
